,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,0,878804561,2661430382,3732735377,3732513226,1393925359,220469234,220469233,220469213,521678895,3957589012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3957589012,521678895,220469213,220469233,220469234,412224917,175266290,319893997,319893904,175266309,175266312,175266317.0,175270032.0,175271082.0,175271080.0,412229355.0,175271079.0,412229300.0,412229350.0,175271077.0,412229308.0,175271064.0,175276963.0,175276967.0,175276975.0,186368571.0,186368666.0,186368671.0,186368349.0,432575467.0,432577978.0,432577084.0,1348970925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1348970925,432577084,432577978,432575467,186368349,186368671,186368666,186368571,175276975,175276967,175276963,175271064.0,412229308.0,175271077.0,412229350.0,412229300.0,175271079.0,412229355.0,175271080.0,175271082.0,175271084.0,179598075.0,179462993.0,2874362912.0,1705549342.0,2874362911.0,2874362910.0,432573333.0,1483045633.0,1483045627.0,1483045611.0,1483045606.0,410983328.0,1483045608.0,179453624.0,3716922624.0,4433695672.0,1234581628.0,179457051.0,179408141.0,445428494.0,4052432419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4052432419,445428494,341979449,1645456330,176668360,2112395507,192192660,409773017,538716090,411232472,418999307,176134383.0,459464835.0,176134386.0,3311187481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3311187481,176134386,176134389,176134392,569925896,569925214,1277005296,409773023,1507014289,409773017,192192660,507091518.0,496218307.0,176668351.0,1193125214.0,176188555.0,662932253.0,662932249.0,413451787.0,413451788.0,176188559.0,319525171.0,176279662.0,319524890.0,5040253974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5040253974,319524890,176279662,999470855,1699781363,1699781359,360181864,410067529,1520596364,179443339,761372494,176176338.0,176176336.0,644992159.0,1342933734.0,1332437461.0,175040705.0,175040709.0,175048158.0,708414979.0,223295952.0,3639313439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3639313439,223295952,708414979,175048158,410047434,175048160,708414883,2908690121,1387213384,1387213376,225604300,2314631335.0,411677237.0,1253924563.0,212641546.0,1614180954.0,176147425.0,230853785.0,628577088.0,931476066.0,176157987.0,2319928612.0,2319928608.0,3546770314.0,618576148.0,176157986.0,212654521.0,2873939465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2873939465,212654521,176157986,686271225,2861412235,3694964868,3704246259,456228114,414443319,414443365,176195127,414443436.0,414443279.0,1008892580.0,212638155.0,1490092440.0,990852381.0,990852398.0,220630798.0,793882469.0,175054405.0,4750281226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4750281226,175054405,416564071,4778199164,412486513,411818834,413554877,413554851,795997487,176201781,4243906366,1271979992.0,4321064770.0,179428591.0,618853800.0,176267558.0,474624776.0,176605047.0,176605397.0,426471806.0,176602990.0,176609221.0,4967986735.0,474896843.0,455892925.0,421329722.0,421329726.0,455895478.0,4457419799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4457419799,455895478,421329726,421329722,455892925,474896843,4967986735,176267562,4869735541,176605399,176605047,474624776.0,176267558.0,4321064765.0,456766260.0,541397189.0,612896049.0,176201780.0,781288893.0,176203293.0,2152851726.0,175054404.0,176203297.0,911637628.0,911637622.0,179399582.0,413537567.0,5165808816.0,761499598.0,707134921.0,5107229776.0,5107229794.0,5107229766.0,2861412279.0,412413111.0,414443319.0,456228114.0,1615198889.0,176157987.0,3711896415.0,225658114.0,192078098.0,1070932824.0,930364687.0,176176323.0,635944418.0,192078101.0,176300880.0,176300876.0,176300872.0,176195119.0,176195118.0,3158022307.0,176188854.0,2126776920.0,176188572.0,176188570.0,230710525.0,220470133.0,220470138.0,521678895.0,220469213.0,220469233.0,220469234.0,1393925359.0,3732513226.0,3732735377.0,2661430382.0,878804561.0,0.0
